TRK_VERSION,0.5
Images,ExpID2976_P3_TL01.png,,ExpID2976_P3_TL02.png,,ExpID2976_P3_TL03.png,,ExpID2976_P3_TL04.png,,ExpID2976_P3_TL05.png,,ExpID2976_P3_TL06_grey_adj.png,,ExpID2976_P3_TL07_grey_adj.png,
XY Shift,0.0,0.0,-16.2442308519,81.2023528182,-177.523091039,-137.730714462,-5.7387770062,70.5257598072,-198.836588962,4.9734699525,-40.9642913215,-53.3633627633,-55.2541356443,-128.909776044
Angle Shift-Time,0.0,0.0,2.49510258867,22.0,1.63480108304,47.0,1.36118181871,71.0,0.547788484933,96.0,2.3502140992,122.0,5.41875003169,143.0
Scaling,1.4e-07,1.4e-07,2.2e-07,2.2e-07,2.8e-07,2.8e-07,4.7e-07,4.7e-07,5.8e-07,5.8e-07,6.7e-07,6.7e-07,7.7e-07,7.7e-07
Point 0,7.504e-05,0.00010962,0.00011792,0.00017226,0.00015008,0.00021924,0.00025192,0.00036801,0.00031144,0.00045456,0.00035912,0.00052461,0.0004126,0.00060357
Point 1,7.364e-05,4.494e-05,0.000115873707553,7.77212889488e-05,0.00014657641045,5.73741627759e-05,0.000246312504104,0.000108943689589,0.000303305359055,0.000104191588353,0.000348960011497,5.52185311453e-05,0.000400200011497,1.74185311453e-05
Point 2,7.812e-05,0.0001148,0.0001211,0.0001799,0.00015554,0.00023128,0.000259,0.00038794,0.00031752,0.00048538,0.00036316,0.00056826,0.00041328,0.0006643
Point 3,8.428e-05,0.00011466,0.00012698,0.0001792,0.00016618,0.00023114,0.00027496,0.00038738,0.00033516,0.00048482,0.00038192,0.00056798,0.00043596,0.00066486
Point 4,8.47e-05,0.0001127,0.00012782,0.00017654,0.00016814,0.0002268,0.00027832,0.00037842,0.00033824,0.0004711,0.00038528,0.00054866,0.00044268,0.00063658
Point 5,8.211e-05,9.87e-05,0.00012782,0.0001582,0.00016856,0.00019502,0.00027748,0.00032354,0.0003388,0.00039102,0.00039368,0.00043806,0.00045556,0.00048846
Point 6,7.448e-05,9.891e-05,0.00011858,0.00015778,0.00015232,0.00019292,0.00025578,0.00032088,0.00031486,0.00038612,0.00036862,0.00042924,0.00042546,0.00047712
Point 7,7.427e-05,8.869e-05,0.00011767,0.00014294,0.00015127,0.00016604,0.00025697,0.00027272,0.00031661,0.00032368,0.00037261,0.00033572,0.00042805,0.00035476
Point 8,7.658e-05,8.68e-05,0.00012096,0.00013986,0.0001575,0.0001617,0.00026516,0.00026488,0.0003262,0.00031136,0.0003836,0.00031948,0.00044044,0.00033572
Point 9,8.463e-05,8.841e-05,0.00013153,0.00014287,0.00017437,0.00016653,0.00028539,0.00027237,0.00035007,0.00032221,0.00041027,0.00033761,0.00047551,0.00035637
Point 10,8.505e-05,9.24e-05,0.00013181,0.0001491,0.00017437,0.00017724,0.00028623,0.0002926,0.00035203,0.00035028,0.00041083,0.00037632,0.00047775,0.00040628
Point 11,7.826e-05,8.092e-05,0.00012264,0.00013076,0.00016114,0.00014532,0.00026908,0.00023702,0.00033124,0.00027762,0.00039312,0.00027202,0.00045108,0.00027594
Point 12,8.281e-05,7.959e-05,0.0001309,0.00012859,0.00017346,0.00014203,0.00028518,0.00022981,0.00035098,0.00026649,0.00041622,0.00025837,0.00048062,0.00025977
Point 13,8.519e-05,8.379e-05,0.00013363,0.0001351,0.00017787,0.00015288,0.00029155,0.0002478,0.00035959,0.00029036,0.00042455,0.0002898,0.00049231,0.00029624
